prefecture_code,prefecture_name,horizon,best_params,best_val_loss,mae_norm,rmse_norm,n_trials,n_train_samples,n_val_samples,hpo_test_done
1,北海道,1,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.0020805149392652,0.0183721538633108,0.0435909442603588,20,1984,496,True
1,北海道,2,"{""d_model"": 384, ""n_heads"": 16, ""patch_len"": 8, ""dropout"": 0.15000000000000002, ""lr"": 0.0035331379397983294, ""batch_size"": 32, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0017777732969261,0.0269804690033197,0.0615226551890373,20,1587,397,True
1,北海道,3,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0506409145891666,0.0954755470156669,20,1984,496,True
1,北海道,4,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.061285894,0.112246215,20,1984,496,True
2,青森県,1,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.0037034205128175,0.0184284970164299,0.0372159965336322,20,1984,496,True
2,青森県,2,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 8, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.021783423,0.047250707,20,1984,496,True
2,青森県,3,"{""d_model"": 384, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.0700956210494041,0.1121420189738273,20,1984,496,True
2,青森県,4,"{""d_model"": 128, ""n_heads"": 8, ""patch_len"": 32, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",,0.034637902,0.06424643,20,1984,496,True
3,岩手県,1,"{""d_model"": 256, ""n_heads"": 8, ""patch_len"": 16, ""dropout"": 0.1, ""revin"": true, ""input_norm"": false, ""output_norm"": false, ""lr"": 0.001, ""batch_size"": 32}",0.0046612078055454,0.0218832641839981,0.0392644889652729,20,1984,496,True
3,岩手県,2,"{""d_model"": 384, ""n_heads"": 16, ""patch_len"": 16, ""dropout"": 0.3, ""lr"": 0.002209608204381017, ""batch_size"": 64, ""revin"": true, ""input_norm"": false, ""output_norm"": false}",0.0011904011748265,0.0344945527613163,0.0581853650510311,20,1587,397,True
